step,epoch,loss,learning_rate,grad_norm,elapsed_time_s,timestamp
1,0.0080,3.661000,0.00e+00,1.7501,4.50,2025-10-14 02:38:11
2,0.0161,3.531500,2.50e-05,1.2612,7.31,2025-10-14 02:38:14
3,0.0241,3.457900,5.00e-05,1.1712,10.29,2025-10-14 02:38:17
4,0.0321,3.526400,7.50e-05,1.1998,13.04,2025-10-14 02:38:19
5,0.0402,3.483800,1.00e-04,2.0034,15.85,2025-10-14 02:38:22
6,0.0482,3.244900,1.25e-04,0.9971,18.89,2025-10-14 02:38:25
7,0.0562,3.123500,1.50e-04,1.0101,21.56,2025-10-14 02:38:28
8,0.0643,2.844500,1.75e-04,0.9233,24.40,2025-10-14 02:38:31
9,0.0723,2.585600,2.00e-04,0.9620,27.34,2025-10-14 02:38:34
10,0.0803,2.271700,2.00e-04,1.0351,45.88,2025-10-14 02:38:52
11,0.0884,2.162500,2.00e-04,1.0996,48.59,2025-10-14 02:38:55
12,0.0964,2.091600,2.00e-04,1.1375,51.61,2025-10-14 02:38:58
13,0.1044,1.815100,2.00e-04,1.1086,54.32,2025-10-14 02:39:01
14,0.1124,1.684200,2.00e-04,0.9769,57.01,2025-10-14 02:39:03
15,0.1205,1.581600,2.00e-04,1.0469,59.97,2025-10-14 02:39:06
16,0.1285,1.495900,2.00e-04,1.0728,62.73,2025-10-14 02:39:09
17,0.1365,1.333700,1.99e-04,1.0180,65.34,2025-10-14 02:39:12
18,0.1446,1.380600,1.99e-04,0.9453,68.05,2025-10-14 02:39:14
19,0.1526,1.200700,1.99e-04,0.8730,71.00,2025-10-14 02:39:17
20,0.1606,1.142900,1.99e-04,0.7516,98.27,2025-10-14 02:39:45
21,0.1687,1.144500,1.99e-04,0.6825,101.24,2025-10-14 02:39:47
22,0.1767,0.949900,1.99e-04,0.6200,103.99,2025-10-14 02:39:50
23,0.1847,1.032300,1.98e-04,0.5919,106.65,2025-10-14 02:39:53
24,0.1928,1.029000,1.98e-04,0.6077,109.42,2025-10-14 02:39:56
25,0.2008,0.990200,1.98e-04,0.6977,112.36,2025-10-14 02:39:59
26,0.2088,0.949700,1.98e-04,0.6340,115.05,2025-10-14 02:40:01
